Category,Function Name,Arguments,Result Type,Explanation,Examples
Rounding and Truncating,Floor,"(Duration x, Duration y)",Duration,Returns the largest multiple of the duration y which is less than or equal to the duration x.,"Floor(Days(3.5), Days(2)) returns Days(2)"
Numbers,Frac,(Number n),Number,"Returns the fractional part of the Number n. The result is the same sign as n. For any Number n, Int(n) + Frac(n) is the same as n.",Frac(3.4) returns 0.4
,,,,,Frac(-2.3) returns -0.3
Special,GetFieldProperty,"(Number fid, Text prop)","<Boolean, Text, or Number>","Returns the value of the field property prop, in the field fid, in the current table.  The properties currently supported are ""currencyFormat"", ""currencySymbol"", ""fieldType"", ""maxLength"", ""required"", and ""unique"".","GetFieldProperty(15,""required"") returns true if field 15 in the current table is required, false if not."
Queries,GetFieldValues,"(RecordList l, Number f)",Text Collection,Returns values of fields with field id f from records in l. Use in Formula- Multi-select Text field.,"GetFieldValues(GetRecord(1), 3), returns [“1”]."
Queries,GetRecord,(Number r),Record Collection,Returns record with record id r from the current table. Use this formula to obtain a record list for GetFieldValues.,"GetRecord(1) returns a list of records, in this case containing a single record with Record ID# 1."
Queries,GetRecord,"(Number r, Text t)",Record Collection,Returns record with record id r from table with dbid t. Use this formula to obtain a record list for GetFieldValues.,"GetRecord (1, “bck7gp3q2”) returns record with Record ID# 1 from table with dbid “bck7gp3q2”."
Queries,GetRecords,(Text q),Record Collection,Returns records matching the criteria set by query q from current table. Use this formula to obtain record list for GetFieldValues.,GetRecords (“{3.GT.0}”) returns all records in current table for which the field with id 3 has value greater than 0.
,,,,,
,,,,Note that queries within this formula use API query syntax.,
Queries,GetRecords,"(Text q, Text t)",Record Collection,Returns records matching the criteria set by query q from table with dbid t. Use this formula to obtain record list for GetFieldValues.,"GetRecords(""{3.GT.0}"", ""bck7gp3q2"") returns all records from table with dbid “bck7gp3q2” for which the field with id 3 has value greater than 0."
,,,,,
,,,,Note that queries within this formula use API query syntax.,
,,,,,
TimeOfDay,Hour,(TimeOfDay t),Number,Returns the hour part of the argument t. The hour is in the range 0 to 23.,"Hour(ToTimeOfDay(""3:04pm"")) returns 15"
Durations,Hours,(Number n),Duration,"Returns a Duration representing n hours. This function takes a number and converts it into a Duration type value, expressed in hours.",Hours(4) returns a 4 hour duration
,,,,,[Intake Time]+Hours(2) returns the time of day from the Intake Time field plus two hours.
